datetime, power
2015-10-12T00:00:00 , 1328
2015-10-12T01:00:00 , 1022.35
2015-10-12T02:00:00 , 968.5
2015-10-12T03:00:00 , 892.086
2015-10-12T04:00:00 , 814.148
2015-10-12T05:00:00 , 751.885
2015-10-12T06:00:00 , 705.609
2015-10-12T07:00:00 , 675.335
2015-10-12T08:00:00 , 620.618
2015-10-12T09:00:00 , 552.274
2015-10-12T10:00:00 , 476.565
2015-10-12T11:00:00 , 438.923
2015-10-12T12:00:00 , 452.904
2015-10-12T13:00:00 , 503.302
2015-10-12T14:00:00 , 567.563
2015-10-12T15:00:00 , 566.659
2015-10-12T16:00:00 , 526.9
2015-10-12T17:00:00 , 482.146
2015-10-12T18:00:00 , 412.428
2015-10-12T19:00:00 , 332.565
2015-10-12T20:00:00 , 307.296
2015-10-12T21:00:00 , 311.585
2015-10-12T22:00:00 , 313.421
2015-10-12T23:00:00 , 367.302
2015-10-13T00:00:00 , 418.606
2015-10-13T01:00:00 , 633.2
2015-10-13T02:00:00 , 718.207
2015-10-13T03:00:00 , 790.028
2015-10-13T04:00:00 , 857.474
2015-10-13T05:00:00 , 919.058
2015-10-13T06:00:00 , 1020.9
2015-10-13T07:00:00 , 1085.91
2015-10-13T08:00:00 , 1135.49
2015-10-13T09:00:00 , 1106.2
2015-10-13T10:00:00 , 1048.69
2015-10-13T11:00:00 , 1036.95
2015-10-13T12:00:00 , 1117.9
2015-10-13T13:00:00 , 1222.4
2015-10-13T14:00:00 , 1313.79
2015-10-13T15:00:00 , 1328.93
2015-10-13T16:00:00 , 1311.93
2015-10-13T17:00:00 , 1292.93
2015-10-13T18:00:00 , 1296.62
2015-10-13T19:00:00 , 1335.73
2015-10-13T20:00:00 , 1384.72
2015-10-13T21:00:00 , 1476.18
2015-10-13T22:00:00 , 1602.47
2015-10-13T23:00:00 , 1678.34
2015-10-14T00:00:00 , 1681.59
2015-10-14T01:00:00 , 1830.45
2015-10-14T02:00:00 , 1892.04
2015-10-14T03:00:00 , 1922.31
2015-10-14T04:00:00 , 1948.59
2015-10-14T05:00:00 , 1996.53
2015-10-14T06:00:00 , 2043.02
2015-10-14T07:00:00 , 2081.62
2015-10-14T08:00:00 , 2090.34
2015-10-14T09:00:00 , 2063.82
2015-10-14T10:00:00 , 2056.42
2015-10-14T11:00:00 , 2138.09
2015-10-14T12:00:00 , 2336.93
2015-10-14T13:00:00 , 2625.63
2015-10-14T14:00:00 , 2812.61
2015-10-14T15:00:00 , 2833.36
2015-10-14T16:00:00 , 2718.52
2015-10-14T17:00:00 , 2592.58
2015-10-14T18:00:00 , 2458.93
2015-10-14T19:00:00 , 2386.21
2015-10-14T20:00:00 , 2334.05
2015-10-14T21:00:00 , 2465.93
2015-10-14T22:00:00 , 2603.07
2015-10-14T23:00:00 , 2748.49
2015-10-15T00:00:00 , 2855.97
2015-10-15T01:00:00 , 2918.96
2015-10-15T02:00:00 , 2919.03
2015-10-15T03:00:00 , 2855.25
2015-10-15T04:00:00 , 2726.41
2015-10-15T05:00:00 , 2577.93
2015-10-15T06:00:00 , 2395.72
2015-10-15T07:00:00 , 2269.19
2015-10-15T08:00:00 , 2169.61
2015-10-15T09:00:00 , 2143.97
2015-10-15T10:00:00 , 2210.51
2015-10-15T11:00:00 , 2265.58
2015-10-15T12:00:00 , 2294.74
2015-10-15T13:00:00 , 2227.3
2015-10-15T14:00:00 , 2177.67
2015-10-15T15:00:00 , 2117.22
2015-10-15T16:00:00 , 2090.72
2015-10-15T17:00:00 , 2039.75
2015-10-15T18:00:00 , 1949.9
2015-10-15T19:00:00 , 1832.09
2015-10-15T20:00:00 , 1723.36
2015-10-15T21:00:00 , 1697.3
2015-10-15T22:00:00 , 1769.52
2015-10-15T23:00:00 , 1852.88
2015-10-16T00:00:00 , 1861
